Network_SID,DateTime_Key,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
-328845490,2021/01/21 05:15:00,SOEM1,13968,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0914.1,AMM 20PB,-39.8,B14f,B98b,1/8+,1
-328845490,2021/01/21 05:15:00,SOEM1,13968,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0914.1,AMM 20PB,-49.5,B14d,B33b,1/7+,1
-1872131032,2021/01/21 05:15:00,SOEM1,13951,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3579.1,AMM 2PB,-47.9,U79a,U02e,1/2+,1
-1904620014,2021/01/21 05:15:00,SOEM1,13946,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BMT05.1,AMM 6PC,-45.7,UT5e,U55a,1/5+,1
-1904620014,2021/01/21 05:15:00,SOEM1,13946,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-BMT05.1,AMM 6PC,-43.8,UT5c,U22b,1/6+,1
-1904620014,2021/01/21 05:15:00,SOEM1,13946,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BMT05.1,AMM 6PC,-46.7,UT5b,U18c,1/3+,1
-1904620014,2021/01/21 05:15:00,SOEM1,13946,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BMT05.1,AMM 6PC,-48.2,UT5d,U16b,1/4+,1
-1904620014,2021/01/21 05:15:00,SOEM1,13946,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BMT05.1,AMM 6PC,-42.3,UT5b,U18c,1/2+,1
1590081495,2021/01/21 05:15:00,SOEM1,13953,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3580.1,AMM 2PB,-41.3,U80a,U02d,1/2+,1
-1016423559,2021/01/21 05:15:00,SOEM1,13979,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5331-TN1.1,AMM 2PB,-31.9,531c,h76a,1/3+,1
-361426611,2021/01/21 05:15:00,SOEM1,13950,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3590.1,AMM 2PB,-93.4,U90a,U70c,1/2+,1
-361426611,2021/01/21 05:15:00,SOEM1,13950,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3590.1,AMM 2PB,-45.1,U90b,B84d,1/3+,1
1733866940,2021/01/21 05:15:00,SOEM1,13957,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3535.1,AMM 6PC,-45.1,U35d,U61b,1/5+,1
1733866940,2021/01/21 05:15:00,SOEM1,13957,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3535.1,AMM 6PC,-46.4,U35f,UT1a,1/2+,1
1733866940,2021/01/21 05:15:00,SOEM1,13957,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3535.1,AMM 6PC,-44.5,U35e,U37b,1/4+,1
1733866940,2021/01/21 05:15:00,SOEM1,13957,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3535.1,AMM 6PC,-45.7,U35c,UT1b,1/3+,1
