NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,5471,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-SO4122.1,AMM 6PC,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5425,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5066.1,AMM 6PC,-,-34.7,-34.7,0,266a,L23c,-
SOEM1,5434,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5339.1,AMM 2PB,-,-46.4,-46.5,0,539a,234b,-
SOEM1,5438,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1693-TN2.1,AMM 6PC,-,-37.9,-37.7,0,A93f,633a,-
SOEM1,5422,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1633.1,AMM 6PC,-,-44.2,-44.4,0,A33f,h16a,-
SOEM1,5422,F5/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL1633.1,AMM 6PC,-,-46.0,0.0,0,----,----,-
SOEM1,5308,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1250.1,AMM 2PB,-,-43.5,0.0,0,350b,314c,-
SOEM1,5456,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3942.1,AMM 2PB,-,-44.2,0.0,0,----,----,-
SOEM1,5482,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-SK2125.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,5451,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TO1566.1,AMM 6PC,-,-37.9,-37.9,0,Z66b,ZT2f,-
SOEM1,5455,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3582.1,AMM 6PC,-,-45.7,-45.7,0,U82d,U69e,-
SOEM1,5455,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3582.1,AMM 6PC,-,-46.4,-46.6,0,U82a,U14h,-
SOEM1,5458,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BJ6144.1,AMM 6PC,-,-44.2,-44.1,0,j44b,J61l,-
SOEM1,5469,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-SE6359.1,AMM 2PB,-,-40.7,-40.7,0,859c,ST9b,-
SOEM1,5454,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3569.1,AMM 6PC,-,-41.6,-41.5,0,U69a,u89b,-
SOEM1,5454,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BM3569.1,AMM 6PC,-,-43.8,0.0,0,----,----,-
SOEM1,5310,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0981.1,AMM 6PC,-,-46.0,-46.0,0,B81e,b60b,-
SOEM1,5310,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BL0981.1,AMM 6PC,-,-38.5,0.0,0,----,----,-
SOEM1,5475,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4841.1,AMM 2PB,-,-40.4,0.0,0,----,----,-
SOEM1,5490,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5001..1,AMM 6PC,-,-35.4,-35.4,0,201d,AT1d,-
SOEM1,5490,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5001..1,AMM 6PC,-,-40.1,0.0,0,----,----,-
SOEM1,5489,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL6264.1,AMM 2PB,-,-51.4,0.0,0,----,----,-
SOEM1,5493,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-CO2514-TN2.1,AMM 2PB,-,-44.8,0.0,0,----,----,-
SOEM1,5506,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AN2305.1,AMM 2PB,-,-40.4,0.0,0,----,----,-
