NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RFInputPower,MeanRxLevel1m,IdLogNum,TID,FarEndTID,FailureDescription
SOEM1,19067,F5/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-36.6,0.0,0,----,----,-
SOEM1,19067,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-36.6,0.0,0,----,----,-
SOEM1,19067,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-38.8,-39.1,0,BT2x,B44h,-
SOEM1,19067,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-39.1,-39.7,0,BT2w,B44g,-
SOEM1,19067,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-39.1,-39.6,0,BT2r,B44f,-
SOEM1,19067,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-39.1,-39.8,0,BT2q,B44e,-
SOEM1,19067,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-99.9,-39.8,0,BT2g,B09b,PM Failure - NE PM data is invalid
SOEM1,19067,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-36.6,-36.6,0,BT2k,B87c,-
SOEM1,19067,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-37.9,-38.7,0,BT2m,B22c,-
SOEM1,19067,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-BLT02-TN3.1,AMM 20PB,-,-37.6,-39.0,0,BT2n,B22j,-
SOEM1,19104,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-46.4,0.0,0,----,----,-
SOEM1,19104,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-48.5,-48.4,0,301c,304b,-
SOEM1,19104,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-43.2,-42.9,0,301d,303b,-
SOEM1,19104,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-42.9,-42.9,0,301e,300b,-
SOEM1,19104,F3/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-39.8,0.0,0,----,----,-
SOEM1,19104,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-38.5,-38.2,0,301a,306j,-
SOEM1,19104,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-40.4,0.0,0,----,----,-
SOEM1,19104,F5/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-42.0,0.0,0,----,----,-
SOEM1,19104,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-39.8,-39.6,0,301b,306h,-
SOEM1,19104,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-TE1201.1,AMM 6PC,-,-44.2,0.0,0,----,----,-
SOEM1,19113,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-AI4489.1,AMM 2PB,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,19120,Unreachable Bulk FC,2021-01-21 00:00:00,24,Near End,TN-LA0335.1,AMM 6PC,-,-,-,0,----,----,PM Failure - Data no longer available in NE
SOEM1,19097,F4/1.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT18-TN3.1,AMM 20PB,-,-50.1,0.0,0,----,----,-
SOEM1,19097,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT18-TN3.1,AMM 20PB,-,-38.5,-38.2,0,ATJn,526g,-
SOEM1,19097,F7/1.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT18-TN3.1,AMM 20PB,-,-37.6,0.0,0,----,----,-
SOEM1,19097,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT18-TN3.1,AMM 20PB,-,-38.2,0.0,0,----,----,-
SOEM1,19097,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT18-TN3.1,AMM 20PB,-,-38.5,-37.8,0,ATJK,526a,-
SOEM1,19097,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT18-TN3.1,AMM 20PB,-,-47.6,-47.3,0,ATJj,228a,-
SOEM1,19070,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-BJ0682.1,AMM 2PB,-,-47.6,0.0,0,J82a,J35d,-
SOEM1,19070,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-BJ0682.1,AMM 2PB,-,-47.6,0.0,0,----,----,-
SOEM1,19086,F2/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5491.1,AMM 6PC,-,-33.5,0.0,0,----,----,-
SOEM1,19086,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5491.1,AMM 6PC,-,-46.0,-46.0,0,691e,h46d,-
SOEM1,19086,F5/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5491.1,AMM 6PC,-,-46.7,0.0,0,----,----,-
SOEM1,19086,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5491.1,AMM 6PC,-,-45.7,-45.3,0,691c,h46c,-
SOEM1,19086,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5491.1,AMM 6PC,-,-34.4,-34.3,0,691d,234a,-
SOEM1,19086,F6/1.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5491.1,AMM 6PC,-,-34.1,0.0,0,----,----,-
SOEM1,19086,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5491.1,AMM 6PC,-,-34.7,-34.5,0,691a,234h,-
